idx,key,family,family_label,status,phrase,relation,anchor_area,support_area,support_mask,anchor_mask,error
10,fe_021_brown_owl_3_origami_owl,F5,T5_same_color_material,ok,owl,inside,0.190716,0.202805,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_021_brown_owl_3_origami_owl_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_021_brown_owl_3_origami_owl_anchor.png,
11,fe_024_bus_2_volkswagen_logo,F3,T3_surface_decal,ok,front of the van,inside,0.110840,0.117901,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_024_bus_2_volkswagen_logo_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_024_bus_2_volkswagen_logo_anchor.png,
12,fe_025_bus_3_pink_van,F4,T4_local_recolor,ok,front of the van,inside,0.110840,0.121365,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_025_bus_3_pink_van_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_025_bus_3_pink_van_anchor.png,
13,fe_027_butterflies_1_yellow,F4,T4_local_recolor,ok,butterflies,inside,0.116707,0.129944,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_027_butterflies_1_yellow_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_027_butterflies_1_yellow_anchor.png,
14,fe_028_butterfly_1_orange_butterfly,F4,T4_local_recolor,ok,butterfly,inside,0.090996,0.102547,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_028_butterfly_1_orange_butterfly_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_028_butterfly_1_orange_butterfly_anchor.png,
15,fe_029_butterfly_2_red_flower,F4,T4_local_recolor,ok,flower,inside,0.072441,0.083652,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_029_butterfly_2_red_flower_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_029_butterfly_2_red_flower_anchor.png,
16,fe_031_cake_1_berries,F2,T2_container_insertion,ok,cake,inside,0.308460,0.327065,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_031_cake_1_berries_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_031_cake_1_berries_anchor.png,
17,fe_033_cake_3_wedding_cake,F2,T2_container_insertion,ok,cake,inside,0.308460,0.327065,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_033_cake_3_wedding_cake_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_033_cake_3_wedding_cake_anchor.png,
18,fe_034_cake_4_strawberries,F2,T2_container_insertion,ok,cake,inside,0.308460,0.327065,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_034_cake_4_strawberries_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_034_cake_4_strawberries_anchor.png,
19,fe_037_castle_1_lego_castle,F5,T5_same_color_material,ok,castle,inside,0.298492,0.318546,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_037_castle_1_lego_castle_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_037_castle_1_lego_castle_anchor.png,
20,fe_038_cat_and_dog_1_lego,F5,T5_same_color_material,ok,dog and cat,inside,0.200771,0.213509,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_038_cat_and_dog_1_lego_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_038_cat_and_dog_1_lego_anchor.png,
21,fe_039_cat_and_dog_2_bronze,F5,T5_same_color_material,ok,dog and cat,inside,0.200771,0.213509,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_039_cat_and_dog_2_bronze_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_039_cat_and_dog_2_bronze_anchor.png,
22,fe_046_cat_crown_1_black_top_hat,F1,T1_attached_accessory,ok,cat,top_center,0.185692,0.091537,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_046_cat_crown_1_black_top_hat_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_046_cat_crown_1_black_top_hat_anchor.png,
23,fe_055_cat_7_wooden_sculpture,F5,T5_same_color_material,ok,kitten,inside,0.247742,0.259590,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_055_cat_7_wooden_sculpture_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_055_cat_7_wooden_sculpture_anchor.png,
24,fe_067_cat_stone_1_black_kitten,F4,T4_local_recolor,ok,kitten,inside,0.071785,0.082661,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_067_cat_stone_1_black_kitten_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_067_cat_stone_1_black_kitten_anchor.png,
25,fe_069_cat_stone_3_sculpture,F5,T5_same_color_material,ok,kitten,inside,0.071785,0.079041,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_069_cat_stone_3_sculpture_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_069_cat_stone_3_sculpture_anchor.png,
26,fe_080_corgi_1_lego_bricks,F5,T5_same_color_material,ok,dog,inside,0.054523,0.064610,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_080_corgi_1_lego_bricks_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_080_corgi_1_lego_bricks_anchor.png,
27,fe_081_corgi_2_wooden_sculpture,F5,T5_same_color_material,ok,dog,inside,0.054523,0.064610,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_081_corgi_2_wooden_sculpture_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_081_corgi_2_wooden_sculpture_anchor.png,
28,fe_084_cupcake_2_red_velvet,F4,T4_local_recolor,ok,cupcake,inside,0.137051,0.147587,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_084_cupcake_2_red_velvet_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_084_cupcake_2_red_velvet_anchor.png,
29,fe_092_dog_4_sculpture,F5,T5_same_color_material,ok,dog,inside,0.137424,0.146236,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_092_dog_4_sculpture_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_092_dog_4_sculpture_anchor.png,
30,fe_093_dog_5_lego_bricks,F5,T5_same_color_material,ok,dog,inside,0.137424,0.146236,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_093_dog_5_lego_bricks_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_093_dog_5_lego_bricks_anchor.png,
31,fe_094_dog_6_red_top_hat,F1,T1_attached_accessory,ok,dog,top_center,0.137424,0.103325,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_094_dog_6_red_top_hat_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_094_dog_6_red_top_hat_anchor.png,
32,fe_095_dog_7_jeweled_crown,F1,T1_attached_accessory,ok,dog,top_center,0.137424,0.103325,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_095_dog_7_jeweled_crown_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_095_dog_7_jeweled_crown_anchor.png,
33,fe_097_dog_snow_1_wooden_sculpture,F5,T5_same_color_material,ok,dog,inside,0.120056,0.133415,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_097_dog_snow_1_wooden_sculpture_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_097_dog_snow_1_wooden_sculpture_anchor.png,
34,fe_101_dog_snow_5_golden,F5,T5_same_color_material,ok,dog,inside,0.120056,0.133415,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_101_dog_snow_5_golden_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_101_dog_snow_5_golden_anchor.png,
35,fe_108_duck_1_colorful_duck,F4,T4_local_recolor,ok,duck,inside,0.150639,0.163845,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_108_duck_1_colorful_duck_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_108_duck_1_colorful_duck_anchor.png,
36,fe_114_flowers_1_orange_yellow_white,F4,T4_local_recolor,ok,flowers,inside,0.182652,0.203335,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_114_flowers_1_orange_yellow_white_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_114_flowers_1_orange_yellow_white_anchor.png,
37,fe_115_flowers_2_blue_purple_white,F4,T4_local_recolor,ok,flowers,inside,0.182652,0.203335,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_115_flowers_2_blue_purple_white_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_115_flowers_2_blue_purple_white_anchor.png,
38,fe_116_free_wifi_1_free_beer,F3,T3_surface_decal,ok,black board,inside,0.491806,0.503120,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_116_free_wifi_1_free_beer_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_116_free_wifi_1_free_beer_anchor.png,
39,fe_117_free_wifi_2_free_hugs,F3,T3_surface_decal,ok,black board,inside,0.491806,0.503120,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_117_free_wifi_2_free_hugs_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_117_free_wifi_2_free_hugs_anchor.png,
40,fe_118_gas_station_1_cvpr,F3,T3_surface_decal,ok,gas station sign,inside,0.064838,0.069733,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_118_gas_station_1_cvpr_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_118_gas_station_1_cvpr_anchor.png,
41,fe_119_gas_station_2_iccv,F3,T3_surface_decal,ok,gas station sign,inside,0.064838,0.069733,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_119_gas_station_2_iccv_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_119_gas_station_2_iccv_anchor.png,
42,fe_120_gas_station_3_eccv,F3,T3_surface_decal,ok,gas station sign,inside,0.064838,0.069733,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_120_gas_station_3_eccv_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_120_gas_station_3_eccv_anchor.png,
43,fe_121_gas_station_4_food,F3,T3_surface_decal,ok,gas station sign,inside,0.064838,0.069733,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_121_gas_station_4_food_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_121_gas_station_4_food_anchor.png,
44,fe_122_gas_station_5_love,F3,T3_surface_decal,ok,gas station sign,inside,0.064838,0.069733,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_122_gas_station_5_love_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_122_gas_station_5_love_anchor.png,
45,fe_123_gas_station_6_free,F3,T3_surface_decal,ok,gas station sign,inside,0.064838,0.069733,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_123_gas_station_6_free_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_123_gas_station_6_free_anchor.png,
46,fe_127_gray_bird_1_origami_bird,F5,T5_same_color_material,ok,bird,inside,0.176270,0.195950,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_127_gray_bird_1_origami_bird_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_127_gray_bird_1_origami_bird_anchor.png,
47,fe_128_gray_bird_2_red_bird,F4,T4_local_recolor,ok,bird,inside,0.176270,0.205032,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_128_gray_bird_2_red_bird_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_128_gray_bird_2_red_bird_anchor.png,
48,fe_129_gray_bird_3_sculpture,F5,T5_same_color_material,ok,bird,inside,0.176270,0.195950,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_129_gray_bird_3_sculpture_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_129_gray_bird_3_sculpture_anchor.png,
49,fe_130_gray_bird_4_golden_sculpture,F5,T5_same_color_material,ok,bird,inside,0.176270,0.195950,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_130_gray_bird_4_golden_sculpture_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_130_gray_bird_4_golden_sculpture_anchor.png,
50,fe_131_groceries_1_bacon,F3,T3_surface_decal,ok,brown paper,inside,0.785381,0.809586,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_131_groceries_1_bacon_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_131_groceries_1_bacon_anchor.png,
51,fe_132_groceries_2_coffee,F3,T3_surface_decal,ok,brown paper,inside,0.785381,0.809586,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_132_groceries_2_coffee_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_132_groceries_2_coffee_anchor.png,
52,fe_133_groceries_3_cvpr,F3,T3_surface_decal,ok,brown paper,inside,0.785381,0.809586,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_133_groceries_3_cvpr_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_133_groceries_3_cvpr_anchor.png,
53,fe_134_groceries_4_eccv,F3,T3_surface_decal,ok,brown paper,inside,0.785381,0.809586,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_134_groceries_4_eccv_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_134_groceries_4_eccv_anchor.png,
54,fe_135_groceries_5_iccv,F3,T3_surface_decal,ok,brown paper,inside,0.785381,0.809586,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_135_groceries_5_iccv_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_135_groceries_5_iccv_anchor.png,
55,fe_139_horse_3_bronze_sculpture,F5,T5_same_color_material,ok,horse,inside,0.193840,0.214375,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_139_horse_3_bronze_sculpture_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_139_horse_3_bronze_sculpture_anchor.png,
56,fe_140_horse_4_brown_horse,F4,T4_local_recolor,ok,horse,inside,0.193840,0.224537,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_140_horse_4_brown_horse_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_140_horse_4_brown_horse_anchor.png,
57,fe_141_iguana_1_green_lizard,F4,T4_local_recolor,ok,lizard,inside,0.115314,0.132084,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_141_iguana_1_green_lizard_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_141_iguana_1_green_lizard_anchor.png,
58,fe_142_iguana_2_blue_lizard_top_hat,F1,T1_attached_accessory,ok,lizard,top_center,0.115314,0.090988,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_142_iguana_2_blue_lizard_top_hat_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_142_iguana_2_blue_lizard_top_hat_anchor.png,
59,fe_146_japanese_castle_1_lego_castle,F5,T5_same_color_material,ok,castle,inside,0.194942,0.209934,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_146_japanese_castle_1_lego_castle_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_146_japanese_castle_1_lego_castle_anchor.png,
60,fe_148_jump_kick_2_bronze_statue,F5,T5_same_color_material,ok,woman,inside,0.110104,0.124531,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_148_jump_kick_2_bronze_statue_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_148_jump_kick_2_bronze_statue_anchor.png,
61,fe_149_jump_kick_3_golden_statue,F5,T5_same_color_material,ok,woman,inside,0.110104,0.124531,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_149_jump_kick_3_golden_statue_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_149_jump_kick_3_golden_statue_anchor.png,
62,fe_150_jump_kick_4_marble_statue,F5,T5_same_color_material,ok,woman,inside,0.110104,0.124531,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_150_jump_kick_4_marble_statue_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_150_jump_kick_4_marble_statue_anchor.png,
63,fe_152_jump_yay_2_bronze_statue,F5,T5_same_color_material,ok,man,inside,0.168232,0.185482,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_152_jump_yay_2_bronze_statue_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_152_jump_yay_2_bronze_statue_anchor.png,
64,fe_153_jump_yay_3_golden_statue,F5,T5_same_color_material,ok,man,inside,0.168232,0.185482,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_153_jump_yay_3_golden_statue_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_153_jump_yay_3_golden_statue_anchor.png,
65,fe_157_kid_running_3_sculpture,F5,T5_same_color_material,ok,boy,inside,0.089531,0.098186,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_157_kid_running_3_sculpture_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_157_kid_running_3_sculpture_anchor.png,
66,fe_158_kid_running_4_wooden_sculpture,F5,T5_same_color_material,ok,boy,inside,0.089531,0.098186,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_158_kid_running_4_wooden_sculpture_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_158_kid_running_4_wooden_sculpture_anchor.png,
67,fe_164_luna_1_sol,F3,T3_surface_decal,ok,neon sign,inside,0.120453,0.127892,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_164_luna_1_sol_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_164_luna_1_sol_anchor.png,
68,fe_165_luna_2_cvpr,F3,T3_surface_decal,ok,neon sign,inside,0.120453,0.127892,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_165_luna_2_cvpr_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_165_luna_2_cvpr_anchor.png,
69,fe_166_luna_3_iccv,F3,T3_surface_decal,ok,neon sign,inside,0.120453,0.127892,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_166_luna_3_iccv_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_166_luna_3_iccv_anchor.png,
70,fe_167_luna_4_eccv,F3,T3_surface_decal,ok,neon sign,inside,0.120453,0.127892,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_167_luna_4_eccv_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_167_luna_4_eccv_anchor.png,
71,fe_168_luna_5_welcome,F3,T3_surface_decal,ok,neon sign,inside,0.120453,0.127892,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_168_luna_5_welcome_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_168_luna_5_welcome_anchor.png,
72,fe_169_luna_6_hi,F3,T3_surface_decal,ok,neon sign,inside,0.120453,0.127892,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_169_luna_6_hi_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_169_luna_6_hi_anchor.png,
73,fe_170_luna_7_heart,F3,T3_surface_decal,ok,neon sign,inside,0.120453,0.127892,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_170_luna_7_heart_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_170_luna_7_heart_anchor.png,
74,fe_171_meditation_1_wooden_statue,F5,T5_same_color_material,ok,woman,inside,0.375320,0.393162,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_171_meditation_1_wooden_statue_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_171_meditation_1_wooden_statue_anchor.png,
